ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
241	14-410-282-1	day	Yaminahua	pɨna	pɨna	p ɨ n a	120	120	p ɨ n a	120	120	120	day-8	
224		dust	Yaminahua		bapo	b a p o	227	227	b a p o	227	227	227	dust-8	
223	1-213-282-1	dust	Yaminahua	mapo [bapo]	mapo	m a p o	225	23	m a p o	225	23	23	ashes-2	
222	1-212-282-1	earth=ground, soil	Yaminahua	mai	mai	m ai	221	221	m ai	221	221	221	earth	
244	13-140-282-1	every, all	Yaminahua	kɨyo-kõi	kɨyo-kõi	k ɨ j o + k õ i	199 201	199 17	k ɨ j o + k õ i	199 201	199 201	199 201	every-4 every-3	
240	12-440-282-1	far (adv)	Yaminahua	čai	čai	tʃ ai	156	135	tʃ ai	156	135	135	near-5	
225	1-810-282-1	fire	Yaminahua	čii	čii	tʃ iː	1	1	tʃ iː	1	1	1	fire-2	
226	1-820-282-1	flame (noun)	Yaminahua	toro	toro	t o r o	11	11	t o r o	11	11	11	flame-6	
242	16-710-282-1	good	Yaminahua	šara	šara	ʃ a r a	167	167	ʃ a r a	167	107	107	good-8	
232	12-550-282-1	large, big	Yaminahua	ɨβapa	ɨβapa	ɨ β a p a	47	47	ɨ + β a + p a	47 46 58	47 46 33	47 46 33	_i-prefix large-11 _pa-suffix	
233	12-550-282-3	large, big	Yaminahua	-βa	βa	β a	46	46	β a	46	46	46	large-11	
239	12-430-282-1	near (adv)	Yaminahua	čai-mašta	čai-mašta	tʃ ai + m a ʃ t a	135 141	135 141	tʃ ai + m a ʃ t a	135 141	135 141	135 141	near-5 _not-2	
245	13-10-282-1	one	Yaminahua	βisti	βisti	β i s t i	215	215	β i s t i	215	215	215	one-3	
230		sky	Yaminahua		dai	d ai	34	34	d ai	30	30	30	sky-5	
229	1-510-282-1	sky	Yaminahua	nai [dai]	nai	n ai	29	29	n ai	29	29	29	sky-2	
234	12-560-282-1	small, little	Yaminahua	pišta	pišta	p i ʃ t a	80	80	p i ʃ t a	71	71	71	small-6	
227	1-830-282-1	smoke (noun)	Yaminahua	kõi	kõi	k õ i	17	17	k õ i	17	17	17	smoke-2	
231	1-520-282-1	sun	Yaminahua	ṣ̌ini	ṣ̌ini	ʂ i n i	37	37	ʂ i n i	37	37	37	sun-3	
235	12-630-282-1	thick (in dimension)	Yaminahua	nami	nami	n a m i	81	81	n a m i	81	81	81	thick-9	
236	12-630-282-3	thick (in dimension)	Yaminahua	nami ṣ̌ini	nami ṣ̌ini	n a m i + ʂ i n i	81 93	81 37	n a m i + ʂ i n i	81 93	81 37	81 37	thick-9 sun-3	
238	12-650-282-3	thin (in dimension)	Yaminahua	kaβa-šara	kaβa-šara	k a β a + ʃ a r a	106 107	106 107	k a β a + ʃ a r a	106 107	106 107	106 107	thin-8 good-8	
237	12-650-282-1	thin (in dimension)	Yaminahua	βɨṣ̌ta	βɨṣ̌ta	β ɨ ʂ t a	105	105	β ɨ ʂ t a	105	105	105	thin-7	
