ID	DOCULECT	CONCEPT	VALUE	FORM	WORKFLOWTOKENS	WORKFLOWCOGIDS	WORKFLOWCROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES
19966	Tanimuca	fingernail	bãbãrahea	bãbãrahea	b ã b ã r + a h e a	91 88	91 88	b ã b ã r + a h e a	87 88	87 75	87 75	hand skin-2
19965	Tanimuca	fingernail/claw	bãbãrahea	bãbãrahea	b ã b ã r + a h e a	98 95	91 88	b ã b ã r + a h e a	94 95	87 75	87 75	hand skin-2
19828	Tanimuca	mask	bãjẽpebã	bãjẽpebã	b ã j ẽ p e b ã	117	117	b ã j ẽ p e b ã	117	117	117	mask-2
19784	Tanimuca	spear	behoa	behoa	b e h o a	131	131	b e h o a	131	131	131	spear-3
19688	Tanimuca	correct	hia	hia	h i a	19	19	h i a	19	19	19	correct-4
19776	Tanimuca	island	hubũrika	hubũrika	h u b ũ + r i k a	62 63	62 63	h u b ũ + r i k a	62 63	62 63	62 63	island-3 island-4
19931	Tanimuca	seed	japea	japea	j a p e a	155	155	j a p e a	155	155	155	seed-4
19987	Tanimuca	tree	japua	japua	j a p u a	4	4	j a p u a	4	4	4	tree-3
19865	Tanimuca	stick	japua	japua	j a p u a	121	4	j a p u a	121	4	4	tree-3
19691	Tanimuca	bark	japuahea	japuahea	j a p u a + h e a	79 80	4 80	j a p u a + h e a	79 80	4 80	4 80	tree-3 bark-3
19826	Tanimuca	wrist	jarikaka	jarikaka	j a r i k a k a	110	110	j a r i k a k a	110	110	110	wrist-4
19777	Tanimuca	left	kãkopeʔrõ	kãkopeʔrõ	k ã k o + p e ʔ r õ	66 70	66 70	k ã k o + p e ʔ r õ	66 70	66 70	66 70	left-2 right-5
19869	Tanimuca	chest	karĩbãkia	karĩbãkia	k a r ĩ + b ã k i a	25 26	25 12	k a r ĩ + b ã k i a	25 26	25 11	25 11	chest-4 heart-9
19686	Tanimuca	heart	ojĩbãkia	ojĩbãkia	o j ĩ + b ã k i a	11 12	11 12	o j ĩ + b ã k i a	10 12	10 11	10 11	heart-7 heart-9
19710	Tanimuca	tooth	opia	opia	o p i + a	55 156	48 156	o p i + a	55 156	48 156	48 156	tooth-2 _a-suffix
19709	Tanimuca	frontteeth/incisors	opirupua	opirupua	o p i + r u p u a	48 49	48 29	o p i + r u p u a	48 49	48 18	48 18	tooth-2 straight-3
19742	Tanimuca	fruit	õterikia	õterikia	õ t e + r i k i a	143 142	143 142	õ t e + r i k i a	143 142	143 142	143 142	fruit-6 fruit-3
19791	Tanimuca	firewood	peka	peka	p e k a	127	127	p e k a	127	127	127	firewood-3
19827	Tanimuca	wrist	pita arikaka	pita arikaka	p i t a + a r i k a k a	111 112	103 112	p i t a + a r i k a k a	111 112	103 112	103 112	hand-3 wrist-5
19803	Tanimuca	hand	pitaka	pitaka	p i t a + k a	103 104	103 104	p i t a + k a	103 104	103 104	103 104	hand-3 hand-4
19910	Tanimuca	root	rĩkoa	rĩkoa	r ĩ k o a	38	38	r ĩ k o a	34	34	34	root-2
19689	Tanimuca	correct	rita	rita	r i t a	15	15	r i t a	15	15	15	correct
19708	Tanimuca	right	ɾitapeʔɾõ	ɾitapeʔɾõ	ɾ i t a + p e ʔ ɾ õ	46 47	46 47	ɾ i t a + p e ʔ ɾ õ	46 47	46 47	46 47	right-3 right-4
19927	Tanimuca	sap	tẽkua	tẽkua	t ẽ k u a	147	147	t ẽ k u a	147	147	147	sap-3
19911	Tanimuca	straight	wãhĩã	wãhĩã	w ã h ĩ ã	32	32	w ã h ĩ ã	32	32	32	straight-5
